fila_bronze,chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,columnas_con_problemas,en_cuarentena,chofer_id_preparado,chofer_nombre_preparado,centro_distribucion_preparado,horas_conduccion_mes_preparado,salario_base_bob_preparado,ausentismo_dias_preparado,registro_canonico,excluido_como_copia,columnas_pendientes,en_cuarentena_final,registro_utilizable,version_tratamiento
50,CHO-050,Juan Tapia,Tarija,170.0,4887.8,1,,False,CHO-050,Juan Tapia,Tarija,170.0,4887.8,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
51,CHO-051,Hugo Banzer,Oruro,164.9,4046.38,0,,False,CHO-051,Hugo Banzer,Oruro,164.9,4046.38,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
52,CHO-052,Adolfo Perez,La Paz,145.2,3723.55,0,,False,CHO-052,Adolfo Perez,La Paz,145.2,3723.55,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
53,CHO-053,Marcos Lino,Santa Cruz,206.2,5035.03,0,,False,CHO-053,Marcos Lino,Santa Cruz,206.2,5035.03,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
54,CHO-054,Juan Tapia,Cochabamba,140.8,4602.4,0,,False,CHO-054,Juan Tapia,Cochabamba,140.8,4602.4,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
55,CHO-055,Hugo Banzer,Cochabamba,172.8,5820.32,0,,False,CHO-055,Hugo Banzer,Cochabamba,172.8,5820.32,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
56,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,,False,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
57,CHO-057,Adolfo Perez,La Paz,138.8,6470.81,5,,False,CHO-057,Adolfo Perez,La Paz,138.8,6470.81,5,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
58,CHO-058,Juan Tapia,Cochabamba,181.8,6050.16,0,,False,CHO-058,Juan Tapia,Cochabamba,181.8,6050.16,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
59,CHO-059,Hugo Banzer,Santa Cruz,185.8,4299.98,0,,False,CHO-059,Hugo Banzer,Santa Cruz,185.8,4299.98,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
60,CHO-060,Marcos Lino,Santa Cruz,160.3,6311.12,0,,False,CHO-060,Marcos Lino,Santa Cruz,160.3,6311.12,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
61,CHO-061,Marcos Lino,Tarija,149.4,3994.53,0,,False,CHO-061,Marcos Lino,Tarija,149.4,3994.53,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
62,CHO-062,Rene Rojas,Santa Cruz,152.1,6288.08,0,,False,CHO-062,Rene Rojas,Santa Cruz,152.1,6288.08,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
63,CHO-063,Marcos Lino,La Paz,140.6,4603.13,1,,False,CHO-063,Marcos Lino,La Paz,140.6,4603.13,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
64,CHO-064,Marcos Lino,La Paz,144.2,5185.63,0,,False,CHO-064,Marcos Lino,La Paz,144.2,5185.63,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
65,CHO-065,Oscar Calle,Cochabamba,108.8,3907.68,0,,False,CHO-065,Oscar Calle,Cochabamba,108.8,3907.68,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
66,CHO-066,Marcos Lino,La Paz,118.1,5362.53,0,,False,CHO-066,Marcos Lino,La Paz,118.1,5362.53,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
67,CHO-067,Oscar Calle,Oruro,169.4,4797.93,1,,False,CHO-067,Oscar Calle,Oruro,169.4,4797.93,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
68,CHO-068,Rene Rojas,Cochabamba,121.9,4032.82,1,,False,CHO-068,Rene Rojas,Cochabamba,121.9,4032.82,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
69,CHO-069,Adolfo Perez,Cochabamba,161.5,6104.24,0,,False,CHO-069,Adolfo Perez,Cochabamba,161.5,6104.24,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
70,CHO-070,Oscar Calle,Santa Cruz,104.5,5200.86,0,,False,CHO-070,Oscar Calle,Santa Cruz,104.5,5200.86,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
71,CHO-071,Rene Rojas,La Paz,158.0,4095.89,0,,False,CHO-071,Rene Rojas,La Paz,158.0,4095.89,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
72, cho-072 ,Oscar Calle,La Paz,209.7,6392.98,0,chofer_id,True, cho-072 ,Oscar Calle,La Paz,209.7,6392.98,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
73,CHO-073,Juan Tapia,Cochabamba,160.2,5741.63,2,,False,CHO-073,Juan Tapia,Cochabamba,160.2,5741.63,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
74,CHO-074,Hugo Banzer,Santa Cruz,133.1,3695.82,0,,False,CHO-074,Hugo Banzer,Santa Cruz,133.1,3695.82,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
75,CHO-075,Hugo Banzer,Santa Cruz,162.0,3880.53,0,,False,CHO-075,Hugo Banzer,Santa Cruz,162.0,3880.53,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
76,CHO-076,Oscar Calle,Santa Cruz,168.5,6053.35,0,,False,CHO-076,Oscar Calle,Santa Cruz,168.5,6053.35,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
77,CHO-077,Marcos Lino,Cochabamba,141.8,3715.61,0,,False,CHO-077,Marcos Lino,Cochabamba,141.8,3715.61,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
78,CHO-078,Marcos Lino,Santa Cruz,122.6,5023.39,0,,False,CHO-078,Marcos Lino,Santa Cruz,122.6,5023.39,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
79,CHO-079,Rene Rojas,Santa Cruz,138.5,4018.9,1,,False,CHO-079,Rene Rojas,Santa Cruz,138.5,4018.9,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
80,CHO-080,Adolfo Perez,Santa Cruz,162.2,4714.74,0,,False,CHO-080,Adolfo Perez,Santa Cruz,162.2,4714.74,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
81,CHO-081,Adolfo Perez,Santa Cruz,186.2,4026.8,3,,False,CHO-081,Adolfo Perez,Santa Cruz,186.2,4026.8,3,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
82, cho-082 ,Juan Tapia,Tarija,216.8,3910.06,1,chofer_id,True, cho-082 ,Juan Tapia,Tarija,216.8,3910.06,1,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
83,CHO-083,Juan Tapia,La Paz,210.7,4131.63,1,,False,CHO-083,Juan Tapia,La Paz,210.7,4131.63,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
84,CHO-084,Hugo Banzer,La Paz,77.3,6480.49,0,,False,CHO-084,Hugo Banzer,La Paz,77.3,6480.49,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
85,CHO-085,Marcos Lino,Santa Cruz,190.8,4398.66,0,,False,CHO-085,Marcos Lino,Santa Cruz,190.8,4398.66,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
86,CHO-086,Oscar Calle,Cochabamba,193.2,6482.07,0,,False,CHO-086,Oscar Calle,Cochabamba,193.2,6482.07,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
87,CHO-087,Marcos Lino,Cochabamba,169.8,5533.73,0,,False,CHO-087,Marcos Lino,Cochabamba,169.8,5533.73,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
88,CHO-088,Marcos Lino,Tarija,133.3,6212.39,0,,False,CHO-088,Marcos Lino,Tarija,133.3,6212.39,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
89,CHO-089,Marcos Lino,Cochabamba,140.6,3508.43,0,,False,CHO-089,Marcos Lino,Cochabamba,140.6,3508.43,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
90,CHO-090,Oscar Calle,Cochabamba,180.7,5744.06,2,,False,CHO-090,Oscar Calle,Cochabamba,180.7,5744.06,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
91,CHO-091,Hugo Banzer,La Paz,188.7,3913.91,0,,False,CHO-091,Hugo Banzer,La Paz,188.7,3913.91,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
92, cho-092 ,Hugo Banzer,Santa Cruz,180.7,5522.66,0,chofer_id,True, cho-092 ,Hugo Banzer,Santa Cruz,180.7,5522.66,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
93,CHO-093,Adolfo Perez,La Paz,186.7,5985.05,0,,False,CHO-093,Adolfo Perez,La Paz,186.7,5985.05,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
94,CHO-094,Rene Rojas,Cochabamba,174.0,4656.03,0,,False,CHO-094,Rene Rojas,Cochabamba,174.0,4656.03,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
95,CHO-095,Adolfo Perez,Santa Cruz,131.9,4611.98,5,,False,CHO-095,Adolfo Perez,Santa Cruz,131.9,4611.98,5,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
96,CHO-096,Adolfo Perez,Santa Cruz,180.3,4205.17,1,,False,CHO-096,Adolfo Perez,Santa Cruz,180.3,4205.17,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
97,CHO-097,Hugo Banzer,Santa Cruz,137.2,3802.72,2,,False,CHO-097,Hugo Banzer,Santa Cruz,137.2,3802.72,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
98,CHO-098,Adolfo Perez,Oruro,96.3,4175.34,1,,False,CHO-098,Adolfo Perez,Oruro,96.3,4175.34,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
99,CHO-099,Juan Tapia,Santa Cruz,152.2,4190.52,0,,False,CHO-099,Juan Tapia,Santa Cruz,152.2,4190.52,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
100,CHO-100,Marcos Lino,Santa Cruz,144.0,6363.19,0,,False,CHO-100,Marcos Lino,Santa Cruz,144.0,6363.19,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
101,CHO-101,Adolfo Perez,Santa Cruz,168.5,4673.62,0,,False,CHO-101,Adolfo Perez,Santa Cruz,168.5,4673.62,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
102,CHO-102,Juan Tapia,La Paz,180.7,3966.36,0,,False,CHO-102,Juan Tapia,La Paz,180.7,3966.36,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
103,CHO-103,Juan Tapia,Santa Cruz,187.7,4970.5,1,,False,CHO-103,Juan Tapia,Santa Cruz,187.7,4970.5,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
104,CHO-104,Juan Tapia,Santa Cruz,201.6,3932.18,0,,False,CHO-104,Juan Tapia,Santa Cruz,201.6,3932.18,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
105,CHO-105,Juan Tapia,Tarija,208.2,5168.07,0,,False,CHO-105,Juan Tapia,Tarija,208.2,5168.07,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
106,CHO-106,Rene Rojas,Santa Cruz,208.2,5532.91,1,,False,CHO-106,Rene Rojas,Santa Cruz,208.2,5532.91,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
107,CHO-107,Juan Tapia,La Paz,166.5,5946.13,0,,False,CHO-107,Juan Tapia,La Paz,166.5,5946.13,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
108,CHO-108,Adolfo Perez,Cochabamba,161.2,4733.33,0,,False,CHO-108,Adolfo Perez,Cochabamba,161.2,4733.33,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
109,CHO-109,Juan Tapia,Santa Cruz,167.6,3752.74,0,,False,CHO-109,Juan Tapia,Santa Cruz,167.6,3752.74,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
110,CHO-110,Juan Tapia,Oruro,140.1,6134.6,0,,False,CHO-110,Juan Tapia,Oruro,140.1,6134.6,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
111,CHO-111,Adolfo Perez,Cochabamba,198.2,3510.34,0,,False,CHO-111,Adolfo Perez,Cochabamba,198.2,3510.34,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
112,CHO-112,Marcos Lino,Cochabamba,192.0,5465.25,0,,False,CHO-112,Marcos Lino,Cochabamba,192.0,5465.25,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
113,CHO-113,Hugo Banzer,Santa Cruz,184.6,4934.53,2,,False,CHO-113,Hugo Banzer,Santa Cruz,184.6,4934.53,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
114,CHO-114,Marcos Lino,Santa Cruz,119.4,6319.64,3,,False,CHO-114,Marcos Lino,Santa Cruz,119.4,6319.64,3,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
115,CHO-115,Oscar Calle,Cochabamba,161.8,5835.05,0,,False,CHO-115,Oscar Calle,Cochabamba,161.8,5835.05,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
116,CHO-116,Rene Rojas,Cochabamba,172.7,6086.98,0,,False,CHO-116,Rene Rojas,Cochabamba,172.7,6086.98,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
117,CHO-117,Rene Rojas,Oruro,136.4,6483.66,1,,False,CHO-117,Rene Rojas,Oruro,136.4,6483.66,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
118,CHO-118,Hugo Banzer,Oruro,129.6,4413.19,2,,False,CHO-118,Hugo Banzer,Oruro,129.6,4413.19,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
119,CHO-119,Juan Tapia,Oruro,179.0,5410.5,0,,False,CHO-119,Juan Tapia,Oruro,179.0,5410.5,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
120, cho-120 ,Oscar Calle,Santa Cruz,199.6,4600.25,0,chofer_id,True, cho-120 ,Oscar Calle,Santa Cruz,199.6,4600.25,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
121,CHO-121,Adolfo Perez,Santa Cruz,155.8,6112.94,0,,False,CHO-121,Adolfo Perez,Santa Cruz,155.8,6112.94,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
122,CHO-122,Marcos Lino,Tarija,140.5,5280.62,0,,False,CHO-122,Marcos Lino,Tarija,140.5,5280.62,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
123,CHO-123,Rene Rojas,Santa Cruz,108.5,4159.81,0,,False,CHO-123,Rene Rojas,Santa Cruz,108.5,4159.81,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
124,CHO-124,Jn Tapia,Cochabamba,132.6,3943.6,0,,False,CHO-124,Jn Tapia,Cochabamba,132.6,3943.6,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
125,CHO-125,Marcos Lino,Cochabamba,156.5,4914.15,0,,False,CHO-125,Marcos Lino,Cochabamba,156.5,4914.15,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
126,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,,False,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
127,CHO-127,Marcos Lino,La Paz,150.3,3640.47,1,,False,CHO-127,Marcos Lino,La Paz,150.3,3640.47,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
128,CHO-128,Oscar Calle,Santa Cruz,134.9,4457.87,0,,False,CHO-128,Oscar Calle,Santa Cruz,134.9,4457.87,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
129,CHO-129,Adolfo Perez,Santa Cruz,155.6,6402.94,0,,False,CHO-129,Adolfo Perez,Santa Cruz,155.6,6402.94,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
