chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias
CHO-046,Hugo Banzer,Oruro,205.4,4998.19,0
CHO-047,Rene Rojas,Cochabamba,132.0,4454.18,2
CHO-048,Rene Rojas,Santa Cruz,159.6,4251.02,0
CHO-049,Hugo Banzer,Cochabamba,166.4,3650.83,0
CHO-050,Oscar Calle,La Paz,157.1,4731.24,0
CHO-051,Oscar Calle,Cochabamba,172.6,4748.77,0
CHO-052,Oscar Calle,Santa Cruz,135.6,4570.4,0
CHO-053,Marcos Lino,Santa Cruz,157.2,5725.3,0
CHO-054,Adolfo Perez,La Paz,195.5,5861.37,0
CHO-055,Marcos Lino,Tarija,141.8,5744.11,2
CHO-056,Oscar Calle,La Paz,119.7,5760.61,2
CHO-057,Marcos Lino,Cochabamba,146.2,5396.02,0
CHO-058,Oscar Calle,Santa Cruz,161.8,5723.07,0
CHO-059,Oscar Calle,Tarija,171.7,5878.44,0
CHO-060,Marcos Lino,La Paz,181.5,3597.56,0
CHO-061,Rene Rojas,Cochabamba,135.5,4871.79,1
CHO-062,Adolfo Perez,Cochabamba,146.1,4529.86,0
CHO-063,Juan Tapia,Tarija,124.9,6255.55,0
CHO-064,Marcos Lino,La Paz,223.5,6042.6,3
CHO-065,Oscar Calle,Cochabamba,175.5,6413.82,0
CHO-066,Hugo Banzer,Oruro,146.8,6429.89,0
CHO-067,Adolfo Perez,Tarija,180.4,3737.6,5
CHO-068,Juan Tapia,Tarija,167.3,6453.03,0
CHO-069,Oscar Calle,Santa Cruz,123.8,5969.13,0
CHO-070,Juan Tapia,Cochabamba,113.8,3809.55,0
CHO-071,Rene Rojas,Santa Cruz,163.4,4553.89,0
CHO-072,Marcos Lino,Cochabamba,155.1,4051.1,0
CHO-073,Rene Rojas,La Paz,142.5,4515.61,0
CHO-074,Hugo Banzer,Tarija,142.5,3551.08,2
CHO-075,Oscar Calle,Santa Cruz,188.9,4727.13,0
CHO-076,Hugo Banzer,La Paz,193.1,3836.4,1
CHO-077,Marcos Lino,Cochabamba,156.7,6089.19,0
 cho-078 ,Juan Tapia,Tarija,156.6,4574.42,0
CHO-079,Oscar Calle,Cochabamba,164.6,6033.17,0
CHO-080,Rene Rojas,Cochabamba,157.2,6300.88,0
CHO-081,Oscar Calle,Cochabamba,161.4,5619.82,0
CHO-082,Oscar Calle,Cochabamba,202.5,4086.2,3
CHO-083,Marcos Lino,Cochabamba,203.3,4372.07,2
CHO-084,Hugo Banzer,Tarija,189.7,4947.58,0
CHO-085,Hugo Banzer,Cochabamba,120.4,6058.36,0
CHO-086,Rene Rojas,Cochabamba,152.0,4749.5,0
CHO-087,Adolfo Perez,Cochabamba,138.0,4446.91,0
CHO-088,Juan Tapia,Cochabamba,188.2,6487.49,0
CHO-089,Hugo Banzer,Cochabamba,197.9,4756.2,0
CHO-090,Hugo Banzer,Santa Cruz,157.6,6330.63,1
CHO-091,Marcos Lino,Cochabamba,168.5,3526.97,0
CHO-092,Rene Rojas,Santa Cruz,188.7,3728.7,0
CHO-093,Marcos Lino,Santa Cruz,160.0,6130.71,0
CHO-094,Rene Rojas,La Paz,175.6,6029.32,3
CHO-095,Rene Rojas,Oruro,136.5,3598.47,0
CHO-096,Adolfo Perez,Cochabamba,240.8,3856.26,0
CHO-097,Juan Tapia,Tarija,150.2,5450.37,0
CHO-098,Rene Rojas,Cochabamba,167.2,3545.27,0
CHO-099,Hugo Banzer,Tarija,185.9,4341.24,0
CHO-100,Oscar Calle,Santa Cruz,143.6,5547.53,0
CHO-101,Rene Rojas,La Paz,194.4,5366.68,0
CHO-102,Oscar Calle,Cochabamba,173.0,6270.32,0
CHO-103,Juan Tapia,La Paz,109.5,5168.77,0
CHO-104,Juan Tapia,La Paz,185.5,6452.59,0
CHO-105,Adolfo Perez,Santa Cruz,152.8,3591.95,2
 cho-106 ,Juan Tapia,Santa Cruz,166.8,4156.38,1
CHO-107,Adolfo Perez,Santa Cruz,126.0,6301.41,1
CHO-108,Rene Rojas,Cochabamba,160.2,4042.38,2
CHO-109,Juan Tapia,Cochabamba,169.1,4433.97,3
 cho-110 ,Hugo Banzer,La Paz,203.0,3829.66,0
CHO-111,Adolfo Perez,Cochabamba,205.8,5422.82,1
CHO-112,Oscar Calle,Santa Cruz,153.9,5486.21,0
CHO-113,Marcos Lino,Santa Cruz,149.8,4417.3,0
CHO-114,Hugo Banzer,Santa Cruz,161.7,4886.18,0
CHO-115,Adolfo Perez,Cochabamba,182.0,5136.08,0
CHO-116,Oscar Calle,Santa Cruz,219.7,4609.6,5
CHO-117,Oscar Calle,La Paz,125.0,6247.79,0
CHO-118,Oscar Calle,Santa Cruz,166.5,3985.24,0
CHO-119,Juan Tapia,Tarija,148.5,6359.67,0
CHO-120,Rene Rojas,Cochabamba,135.6,5794.04,0
CHO-121,Hugo Banzer,Cochabamba,137.8,4305.67,0
CHO-122,Rene Rojas,Cochabamba,180.0,5513.05,0
CHO-123,Oscar Calle,Cochabamba,184.1,3591.72,0
CHO-124,Jn Tapia,La Paz,146.5,6377.98,0
CHO-125,Hugo Banzer,Cochabamba,172.8,3713.46,2
CHO-126,Oscar Calle,La Paz,149.1,6222.89,0
CHO-127,Rene Rojas,Santa Cruz,182.1,5369.52,1
CHO-128,Rene Rojas,Cochabamba,184.4,3823.3,0
CHO-129,Juan Tapia,Santa Cruz,176.1,6061.78,0
CHO-130,Adolfo Perez,La Paz,194.4,4934.44,0
CHO-131,Oscar Calle,Cochabamba,186.7,3888.37,0
CHO-132,Marcos Lino,Santa Cruz,160.6,4393.03,0
CHO-133,Rene Rojas,Santa Cruz,178.8,4646.38,1
CHO-134,Adolfo Perez,La Paz,124.4,5270.93,0
CHO-135,Hugo Banzer,Cochabamba,201.3,5167.81,0
CHO-136,Marcos Lino,Cochabamba,152.2,5529.54,0
CHO-137,Marcos Lino,Santa Cruz,166.3,5794.22,0
CHO-138,Oscar Calle,Santa Cruz,184.0,5766.48,0
CHO-139,Juan Tapia,Santa Cruz,199.9,4744.85,0
CHO-140,Adolfo Perez,La Paz,157.5,5126.8,1
CHO-141,Rene Rojas,Santa Cruz,149.9,6393.1,0
CHO-142,Juan Tapia,Cochabamba,208.8,3713.17,0
CHO-143,Adolfo Perez,Cochabamba,152.9,4140.15,0
CHO-144,Marcos Lino,Santa Cruz,146.7,3704.24,0
CHO-145,Oscar Calle,Santa Cruz,222.0,5417.89,0
CHO-146,Rene Rojas,Santa Cruz,114.9,5513.37,1
CHO-147,Hugo Banzer,La Paz,214.0,5866.9,0
CHO-148,Marcos Lino,Cochabamba,183.2,3514.97,0
CHO-149,Rene Rojas,Santa Cruz,155.5,5787.71,0
CHO-150,Oscar Calle,Santa Cruz,145.2,5413.68,0
CHO-151,Juan Tapia,Cochabamba,185.6,4040.25,0
CHO-003,Juan Tapia,Cochabamba,93.7,4598.16,0
CHO-056,Oscar Calle,La Paz,119.7,5760.61,2
CHO-119,Jn Tapia,Tarija,148.5,6359.67,0
CHO-141,Rene Rojas,Santa Cruz,149.9,6393.1,0
CHO-126,Oscar Calle,La Paz,149.1,6222.89,0
