registro_id,timestamp_raw,equipo_id,turno,operador_nombre,temperatura_c,vibracion_mm_s,energia_kwh,produccion_t,estado_mantenimiento
EVT-000143,03/09/2026 23:00,REACTOR-A,C,Carla Méndez,69.41,2.943,627.25,37.76,SIN_ORDEN
EVT-000304,2026-09-02 07:30:00,REACTOR-B,A,Diego Arce,76.55,4.007,685.17,44.88,SIN_ORDEN
EVT-000101,2026-09-03 02:00:00,REACTOR-A,C,Carla Méndez,71.77,3.589,,41.97,SIN_ORDEN
EVT-000159,2026-09-04 07:00:00,REACTOR-A,A,Ana Rojas,74.92,3.317,677.92,41.77,SIN_ORDEN
EVT-000522,2026-09-01 20:30:00,REACTOR-C,B,Hugo Vargas,63.05,"4,127 mm/s",612.84,34.42,SIN_ORDEN
EVT-000621,2026-09-03 22:00:00,REACTOR-C,C,Irene Choque,67.03,3.429,583.74,33.53,SIN_ORDEN
EVT-000616,2026-09-03 19:30:00,REACTOR-C,B,Hugo Vargas,250 °C,4.027,613.86,33.73,SIN_ORDEN
EVT-000184,2026-09-04T19:30:00-04:00,REACTOR-A,B,Bruno Salvatierra,65.07,3.114,646.99,38.28,SIN_ORDEN
EVT-000659,2026-09-04 17:00:00,REACTOR-C,B,Hugo Vargas,"64,19 °C",4.063,600.82,34.87,SIN_ORDEN
EVT-000119,2026-09-03 11:00:00,REACTOR-A,A,Ana Rojas,71.61,2.968,653.79,41.11,SIN_ORDEN
EVT-000561,2026-09-02 16:00:00,REACTOR-C,B,Hugo Vargas,65.77,4.247,623.42,36.64,SIN_ORDEN
EVT-000019,2026-09-01 09:00:00,REACTOR-A,A,Ana Rojas,"72,36 °C",3.544,663.43,39.92,PREVENTIVO
EVT-000438,2026-09-05 02:30:00,REACTOR-B,C,Fernando López,76.30,3.471,717.40,"44,89 t",SIN_ORDEN
EVT-000418,2026-09-04 16:30:00,REACTOR-B,B,Elena Quispe,"67,60 °C",4.144,634.14,"35,36 t",SIN_ORDEN
EVT-000279,2026-09-01 19:00:00,REACTOR-B,B,Elena Quispe,"68,59 °C",3.579,615.18,"35,74 t",SIN_ORDEN
EVT-000626,2026-09-04 00:30:00,REACTOR-C,C,Irene Choque,68.81,3.920,650.78,40.49,SIN_ORDEN
EVT-000625,2026-09-04T00:00:00-04:00,REACTOR-C,C,Irene Choque,"67,44 °C",3.344,620.43,36.99,SIN_ORDEN
EVT-000092,2026-09-02T21:30:00-04:00,REACTOR-A,B,Bruno Salvatierra,70.16,3.144,601.92,35.53,SIN_ORDEN
EVT-000574,2026-09-02 22:30:00,REACTOR-C,C,Irene Choque,67.70,3.488,616.68,35.19,SIN_ORDEN
EVT-000615,2026-09-03 19:00:00,REACTOR-C,B,Hugo Vargas,64.22,3.896,611.62,35.78,PREVENTIVO
EVT-000017,2026-09-01 08:00:00,REACTOR-A,A,Ana Rojas,73.82,3.210,653.67,40.96,SIN_ORDEN
EVT-000648,2026-09-04 11:30:00,REACTOR-C,A,Gabriela Flores,68.93,3.577,625.02,36.81,SIN_ORDEN
EVT-000602,03/09/2026 12:30,REACTOR-C,A,Gabriela Flores,68.39,"3,402 mm/s",653.86,40.32,SIN_ORDEN
EVT-000181,2026-09-04 18:00:00,REACTOR-A,B,Bruno Salvatierra,65.79,3.204,628.82,37.50,SIN_ORDEN
EVT-000564,2026-09-02 17:30:00,REACTOR-C,B,Hugo Vargas,63.89,4.242,571.03,32.55,SIN_ORDEN
EVT-000312,2026-09-02 11:30:00,REACTOR-B,A,Diego Arce,72.33,3.524,639.73,40.44,SIN_ORDEN
EVT-000640,2026-09-04 07:30:00,REACTOR-C,A,Gabriela Flores,73.32,"4,088 mm/s",671.40,40.63,SIN_ORDEN
EVT-000083,2026-09-02 17:00:00,REACTOR-A,B,Bruno Salvatierra,"67,39 °C",3.488,603.51,33.28,SIN_ORDEN
EVT-000517,01/09/2026 18:00,REACTOR-C,B,Hugo Vargas,"65,26 °C",3.527,613.63,NO_REGISTRADO,SIN_ORDEN
EVT-000001,2026-09-01 00:00:00,REACTOR-A,C,Carla Méndez,68.70,3.136,655.24,41.17,SIN_ORDEN
EVT-000084,2026-09-02 17:30:00,REACTOR-A,B,Bruno Salvatierra,66.02,3.562,611.63,34.83,SIN_ORDEN
EVT-000674,2026-09-05 00:30:00,REACTOR-C,C,Irene Choque,"69,74 °C",4.014,616.52,39.06,SIN_ORDEN
EVT-000447,2026-09-05 07:00:00,REACTOR-B,A,Diego Arce,76.09,3.575,664.41,42.81,SIN_ORDEN
EVT-000044,2026-09-01 21:30:00,REACTOR-A,B,Bruno Salvatierra,"67,18 °C",3.406,623.39,36.14,SIN_ORDEN
EVT-000691,2026-09-05 09:00:00,REACTOR-C,A,Gabriela Flores,71.52,4.352,"665,25 kWh",41.54,SIN_ORDEN
EVT-000286,2026-09-01 22:30:00,REACTOR-B,C,Fernando López,69.78,3.640,640.14,37.43,SIN_ORDEN
EVT-000029,2026-09-01 14:00:00,REACTOR-A,B,Bruno Salvatierra,68.64,3.190,647.87,"39,34 t",SIN_ORDEN
EVT-000313,2026-09-02 12:00:00,REACTOR-B,A,Diego Arce,71.72,"3,771 mm/s",638.56,40.40,SIN_ORDEN
EVT-000690,2026-09-05 08:30:00,REACTOR-C,A,Gabriela Flores,"72,26 °C",3.918,650.40,40.72,SIN_ORDEN
EVT-000131,2026-09-03 17:00:00,REACTOR-A,B,Bruno Salvatierra,66.28,3.465,651.93,37.99,SIN_ORDEN
EVT-000292,2026-09-02 01:30:00,REACTOR-B,C,Fernando López,73.55,3.840,690.72,46.00,SIN_ORDEN
EVT-000714,2026-09-05 20:30:00,REACTOR-C,B,Hugo Vargas,65.10,3.926,"618,87 kWh",35.18,SIN_ORDEN
EVT-000551,2026-09-02 11:00:00,REACTOR-C,A,Gabriela Flores,71.08,3.930,623.90,38.91,SIN_ORDEN
EVT-000293,2026-09-02 02:00:00,REACTOR-B,C,Fernando López,74.26,3.317,647.61,39.84,SIN_ORDEN
EVT-000649,2026-09-04 12:00:00,REACTOR-C,A,Gabriela Flores,93.4 °C,8.00 mm/s,844.0 kWh,36.93,SIN_ORDEN
EVT-000271,2026-09-01 15:00:00,REACTOR-B,B,Elena Quispe,"69,02 °C",3.486,663.49,41.83,SIN_ORDEN
EVT-000469,2026-09-05 18:00:00,REACTOR-B,B,Elena Quispe,68.51,3.740,582.80,33.80,SIN_ORDEN
EVT-000371,2026-09-03 17:00:00,REACTOR-B,B,Elena Quispe,67.43,4.008,628.70,38.07,SIN_ORDEN
EVT-000104,2026-09-03 03:30:00,REACTOR-A,C,Carla Méndez,73.56,3.203,,"41,65 t",SIN_ORDEN
EVT-000660,2026-09-04 17:30:00,REACTOR-C,B,Hugo Vargas,62.31,3.624,589.87,32.60,SIN_ORDEN
EVT-000567,2026-09-02 19:00:00,REACTOR-C,B,Hugo Vargas,64.26,4.056,609.87,34.10,SIN_ORDEN
EVT-000268,2026-09-01 13:30:00,REACTOR-B,A,Diego Arce,72.38,"-3,5 mm/s",662.41,39.24,SIN_ORDEN
EVT-000532,2026-09-02 01:30:00,REACTOR-C,C,Irene Choque,"69,28 °C",3.911,618.87,37.96,SIN_ORDEN
EVT-000136,2026-09-03 19:30:00,REACTOR-A,B,Bruno Salvatierra,68.12,"3,746 mm/s",598.64,35.14,SIN_ORDEN
EVT-000546,2026-09-02 08:30:00,REACTOR-C,A,Gabriela Flores,71.07,4.037,"656,72 kWh",41.32,SIN_ORDEN
EVT-000339,2026-09-03 01:00:00,REACTOR-B,C,Fernando López,71.38,3.672,636.83,38.11,SIN_ORDEN
EVT-000263,2026-09-01 11:00:00,REACTOR-B,A,Diego Arce,75.96,3.345,670.41,41.57,SIN_ORDEN
EVT-000099,2026-09-03 01:00:00,REACTOR-A,C,Carla Méndez,71.48,3.106,626.00,37.66,SIN_ORDEN
EVT-000310,2026-09-02 10:30:00,REACTOR-B,A,Diego Arce,71.33,3.613,673.19,44.10,SIN_ORDEN
EVT-000348,2026-09-03 05:30:00,REACTOR-B,C,Fernando López,75.95,4.434,677.76,"44,37 t",SIN_ORDEN
EVT-000445,2026-09-05 06:00:00,REACTOR-B,A,Diego Arce,76.66,3.696,673.06,42.03,SIN_ORDEN
EVT-000719,2026-09-05 23:00:00,REACTOR-C,C,Irene Choque,67.37,3.381,627.83,39.23,SIN_ORDEN
EVT-000677,2026-09-05 02:00:00,REACTOR-C,C,Irene Choque,69.40,4.063,617.28,38.51,SIN_ORDEN
EVT-000117,2026-09-03 10:00:00,REACTOR-A,A,Ana Rojas,"74,04 °C",3.500,"669,12 kWh",41.95,SIN_ORDEN
EVT-000182,2026-09-04 18:30:00,REACTOR-A,B,Bruno Salvatierra,68.74,3.602,"609,49 kWh",36.02,SIN_ORDEN
EVT-000539,2026-09-02 05:00:00,REACTOR-C,C,Irene Choque,73.16,4.197,663.63,40.75,SIN_ORDEN
EVT-000248,2026-09-01 03:30:00,REACTOR-B,C,Fernando López,75.68,3.654,673.71,44.92,SIN_ORDEN
EVT-000055,2026-09-02 03:00:00,REACTOR-A,C,Carla Méndez,72.39,3.204,665.12,41.44,SIN_ORDEN
EVT-000622,2026-09-03 22:30:00,REACTOR-C,C,Irene Choque,65.55,3.929,624.13,38.92,SIN_ORDEN
EVT-000041,2026-09-01 20:00:00,REACTOR-A,B,Bruno Salvatierra,65.59,3.268,621.74,35.78,SIN_ORDEN
EVT-000123,2026-09-03 13:00:00,REACTOR-A,A,Ana Rojas,69.28,3.750,617.18,36.58,SIN_ORDEN
EVT-000553,2026-09-02 12:00:00,REACTOR-C,A,Gabriela Flores,69.12,"3,642 mm/s",631.07,38.13,SIN_ORDEN
EVT-000508,2026-09-01 13:30:00,REACTOR-C,A,Gabriela Flores,68.11,3.725,621.51,36.20,SIN_ORDEN
EVT-000662,2026-09-04 18:30:00,REACTOR-C,B,Hugo Vargas,63.96,"4,541 mm/s",605.72,36.19,SIN_ORDEN
EVT-000280,2026-09-01 19:30:00,REACTOR-B,B,Elena Quispe,66.15,4.056,655.01,37.91,SIN_ORDEN
EVT-000480,2026-09-05 23:30:00,REACTOR-B,C,Fernando López,"72,48 °C","2,950 mm/s",631.60,37.40,SIN_ORDEN
EVT-000404,2026-09-04 09:30:00,REACTOR-B,A,Diego Arce,73.56,3.622,680.34,44.62,SIN_ORDEN
EVT-000651,2026-09-04 13:00:00,REACTOR-C,A,Gabriela Flores,67.58,3.666,615.97,35.66,SIN_ORDEN
EVT-000141,2026-09-03 22:00:00,REACTOR-A,C,Carla Méndez,"68,42 °C",3.167,624.11,36.38,SIN_ORDEN
EVT-000328,2026-09-02 19:30:00,REACTOR-B,B,Elena Quispe,67.49,3.406,611.79,"37,37 t",SIN_ORDEN
EVT-000090,2026-09-02 20:30:00,REACTOR-A,B,Bruno Salvatierra,66.00,2.526,617.61,35.35,SIN_ORDEN
EVT-000587,2026-09-03 05:00:00,REACTOR-C,C,Irene Choque,70.63,4.317,642.07,41.35,SIN_ORDEN
EVT-000396,2026-09-04 05:30:00,REACTOR-B,C,Fernando López,76.33,3.835,676.25,44.81,SIN_ORDEN
EVT-000024,2026-09-01 11:30:00,REACTOR-A,A,Ana Rojas,70.78,3.164,633.28,39.35,SIN_ORDEN
EVT-000096,2026-09-02 23:30:00,REACTOR-A,C,Carla Méndez,70.11,3.258,644.91,39.47,SIN_ORDEN
EVT-000085,2026-09-02 18:00:00,REACTOR-A,B,Bruno Salvatierra,65.17,"3,502 mm/s",602.01,32.54,SIN_ORDEN
EVT-000312,2026-09-02 11:30:00,REACTOR-B,A,Diego Arce,72.33,3.524,639.73,40.44,SIN_ORDEN
EVT-000383,2026-09-03 23:00:00,REACTOR-B,C,Fernando López,"71,66 °C",3.715,642.24,39.31,SIN_ORDEN
EVT-000032,2026-09-01 15:30:00,REACTOR-A,B,Bruno Salvatierra,"64,97 °C",3.721,626.12,37.32,SIN_ORDEN
EVT-000518,2026-09-01 18:30:00,REACTOR-C,B,Hugo Vargas,"62,81 °C",3.995,591.75,34.04,SIN_ORDEN
EVT-000609,2026-09-03 16:00:00,REACTOR-C,B,Hugo Vargas,64.84,3.457,"607,92 kWh",33.32,SIN_ORDEN
EVT-000258,2026-09-01 08:30:00,REACTOR-B,A,Diego Arce,75.69,S/D,663.03,43.01,SIN_ORDEN
EVT-000065,2026-09-02 08:00:00,REACTOR-A,A,Ana Rojas,72.97,3.635,668.85,42.17,SIN_ORDEN
EVT-000219,2026-09-05 13:00:00,REACTOR-A,A,Ana Rojas,69.09,3.290,624.84,"38,67 t",SIN_ORDEN
EVT-000627,2026-09-04T01:00:00-04:00,REACTOR-C,C,Irene Choque,68.50,3.563,598.51,36.06,SIN_ORDEN
EVT-000680,2026-09-05 03:30:00,REACTOR-C,C,Irene Choque,71.14,3.691,659.09,39.86,SIN_ORDEN
